person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
468,ZAPHANIAH JISALO BITRUS,ADVANCE DIP. IN APPLIED PSYCHOLOGY,Student,,,,"",""
468,ZAPHANIAH JISALO BITRUS,B.ED GUIDANCE AND COUNSELING,Student,University of Jos,Educational Institution,,"",""
468,ZAPHANIAH JISALO BITRUS,DIPLOMA CRIMINAL JUSTICE AND ADMINISTRATION,Student,,,,"",""
343,NWOKOLO ONYEMECHI VICTOR,L. B,Student,,,,"",1994
343,NWOKOLO ONYEMECHI VICTOR,NCE,Student,,,,"",1982
343,NWOKOLO ONYEMECHI VICTOR,WASC,Student,,,,"",1979
251,JERRY ALAGBASO,B.ED ,Student,University of Ibadan,Educational Institution,,"",1978
81,AMINU SHEHU SHAGARI,"",Student,,,,"",""
353,OJAKOVO OBORO OMAVOWAN EVELYN,N.C.E (Business Education),Student,,,,"",""
353,OJAKOVO OBORO OMAVOWAN EVELYN,MPA (Master- Public Admin),Student,,,,"",""
353,OJAKOVO OBORO OMAVOWAN EVELYN,LLB Law,Student,,,,"",""
338,NKIRUKA ONYEJEOCHA,Masters Degree in International Affairs/Diplomacy,Student,"Imo State University, Imo State",Educational Institution,,"",""
457,YAKUBU DOGARA,BACHELOR'S DEGREE IN LAW,Student,,,UK,"",""
142,CHUKWUDI JONES VICTOR ONYERERI,MSc MARKETING/PUBLIC RELATIONS,Student,University of Nigeria,Educational Institution,,"",""
215,HENRY ALADEINYEFA DANIEL-OFONGO,"",Student,State Primary School I Ibadan St. Port Harcourt,Educational Institution,,1976,""
461,YUSSUFF LASUN SULAIMON,Pry. Sch. Leaving Cert.,Student,,,,"",""
461,YUSSUFF LASUN SULAIMON,WASC,Student,,,,"",""
461,YUSSUFF LASUN SULAIMON,M. Sc. Tech. Mgt (In View),Student,,,,"",""
73,ALIYU BETARA MUKTAR,OND Accounting & Finance,Student,,,,"",""
470,MUTU NICHOLAS EBOMO,"",Student,"Rivers State School of Basic Studies, Port Harcourt",Educational Institution,,1985,1986
470,MUTU NICHOLAS EBOMO,BA (Business Organisation),Student,"Saint Clements University Caicos/Island,British West Indies",Educational Institution,,"",""
291,MALLE IBRAHIM AMINU,PhD Animal Production (In View),Student,"Federal University of Technology, Yola",Educational Institution,,2007,""
291,MALLE IBRAHIM AMINU,M.Tech Animal Production & Management,Student,"Federal University of Technology, Yola",Educational Institution,,2003,2006
