person_id,person_name,start_date,end_date,parliament_id,party_id,party,party_subtitle,party_role,organisation_name,organisation_subtitle,organisation_role,area
54,AIYEDUN OLAYINKA AKEEM,2011-05-29,2015-05-29,3215,2912,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Ekiti/Isin/Irepodun/Oke-Ero
55,AJAGBE ADETUNJI TAJUDEE,2011-05-29,2013-07-30,3216,2723,Action Congress of Nigeria,"",Member,House of Representatives,"",Federal Representative,Ede North/Ede South/ Egbedore/Ejigbo
55,AJAGBE ADETUNJI TAJUDEE,2013-07-31,2015-05-29,3216,5580,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Ede North/Ede South/ Egbedore/Ejigbo
2,ABATEMI USMAN NURUDEEN,2011-05-29,2015-05-29,3534,3102,Peoples Democratic Party,"",Member,Senate,"",Senator,Kogi Central
4,ABBAS MACHIKA,2012-01-12,2013-07-30,3175,2841,Congress for Progressive Change,"",Member,House of Representatives,"",Federal Representative,Faskari/Kankara/Sabuwa
4,ABBAS MACHIKA,2013-07-31,2015-05-09,3175,5688,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Faskari/Kankara/Sabuwa
7,ABDUL - KABIRU ABAYOMI AYEOLA,,2013-07-30,4021,2712,Action Congress of Nigeria,"",Member,LEKKI L.C.D.A,"",Chairman,
7,ABDUL - KABIRU ABAYOMI AYEOLA,,2013-07-30,4022,2712,Action Congress of Nigeria,"",Member,N.U.T IJEBBU - LEKKI L.G.,"",Secretary,
7,ABDUL - KABIRU ABAYOMI AYEOLA,2011-05-29,2013-07-30,3178,2712,Action Congress of Nigeria,"",Member,House of Representatives,"",Federal Representative,Ibeju Lekki
7,ABDUL - KABIRU ABAYOMI AYEOLA,2013-07-31,2015-05-29,3178,5731,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Ibeju Lekki
7,ABDUL - KABIRU ABAYOMI AYEOLA,2013-07-31,,4021,5731,All Progressives Congress (APC),"",Member,LEKKI L.C.D.A,"",Chairman,
7,ABDUL - KABIRU ABAYOMI AYEOLA,2013-07-31,,4022,5731,All Progressives Congress (APC),"",Member,N.U.T IJEBBU - LEKKI L.G.,"",Secretary,
9,ABDULLAHI MOHAMMED DAN-ALKALI,2011-05-29,2015-05-29,3181,2897,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Fakai/Sakaba/Wasagu/Danko/Zuru
13,ABDULMALIK DAGACI USMAN CHECHE,2011-05-29,2015-05-29,3185,2901,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Bida/Gbako/Katcha
15,ABDUL MUSA MSHELIZA,2011-05-29,2013-07-30,3179,2794,All Nigeria Peoples Party,"",Member,House of Representatives,"",Federal Representative,Askira /Uba / Hawul
