person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
55,AJAGBE ADETUNJI TAJUDEE,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
65,ALBERT TAMINU SAM-TSOKWA,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
109,BAMIDELE AYODELE FAPARUSI,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
210,HASSAN ANTHONY SALE,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
211,HASSAN KAKU EL-BADAWY,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
247,ISMAIL INAH HUSSAIN,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
297,MAURICE PRONEN,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
307,MOHAMMED SHAMSIDIN ANGO ABDULLAHI,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
326,MUSA TSAMIYA AD,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
371,PEACE UZOAMAKA NNAJI,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
374,PETER OGE ALI,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
435,UMAR HALILU ALIER,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
189,GARBA MUSA GULMA,"",Vice-Chairman,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
194,NGIGE CHRIS NWABUEZE,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
321,MURAINA SAUBANA AJIBOLA,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
