person_id,person_name,start_date,end_date,ptm_id,party_id,term_id,id,party,party_subtitle,party_role,organisation_name,organisation_subtitle,organisation_role,area
24,ABIOLA ADEBUKOLA AJAJA,2011-05-29,2015-05-29,0,2705,2011,3194,ACCORD,"",Member,House of Representatives,"",Federal Representative,Ibadan North East/Ibadan South East
54,AIYEDUN OLAYINKA AKEEM,2011-05-29,2015-05-29,0,2912,2011,3215,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Ekiti/Isin/Irepodun/Oke-Ero
25,ABIOSE IFEOLUWA AROWOSOGE,2011-05-29,2013-07-30,0,2717,2011,3195,Action Congress of Nigeria,"",Member,House of Representatives,"",Federal Representative,Ekiti South West/Ikere/Orun/Ise
25,ABIOSE IFEOLUWA AROWOSOGE,2013-07-31,2015-05-29,0,5574,2011,3195,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Ekiti South West/Ikere/Orun/Ise
23,ABIODUN DADA AWOLEYE,2007-05-29,2011-05-29,0,2716,2007,3193,Action Congress of Nigeria,"",Member,House of Representatives,"",Federal Representative,Ibadan South West/Ibadan North West
23,ABIODUN DADA AWOLEYE,2011-05-29,2013-07-30,1,2716,2011,3193,Action Congress of Nigeria,"",Member,House of Representatives,"",Federal Representative,Ibadan South West/Ibadan North West
23,ABIODUN DADA AWOLEYE,2013-07-31,2015-05-29,1,5573,2011,3193,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Ibadan South West/Ibadan North West
13,ABDULMALIK DAGACI USMAN CHECHE,2011-05-29,2015-05-29,0,2901,2011,3185,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Bida/Gbako/Katcha
74,ALIYU IBRAHIM GEBI,2011-05-29,2013-07-30,0,2847,2011,3230,Congress for Progressive Change,"",Member,House of Representatives,"",Federal Representative,Bauchi
74,ALIYU IBRAHIM GEBI,2013-07-31,2015-05-29,0,5694,2011,3230,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
4,ABBAS MACHIKA,2012-01-12,2013-07-30,0,2841,2011,3175,Congress for Progressive Change,"",Member,House of Representatives,"",Federal Representative,Faskari/Kankara/Sabuwa
4,ABBAS MACHIKA,2013-07-31,2015-05-09,0,5688,2011,3175,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Faskari/Kankara/Sabuwa
15,ABDUL MUSA MSHELIZA,2011-05-29,2013-07-30,0,2794,2011,3179,All Nigeria Peoples Party,"",Member,House of Representatives,"",Federal Representative,Askira /Uba / Hawul
15,ABDUL MUSA MSHELIZA,2013-07-31,2015-05-29,0,5649,2011,3179,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Askira /Uba / Hawul
72,ALIYU BAHAGO AHMAN PATEGI,2007-05-29,2011-05-29,0,2921,2007,2231,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,
72,ALIYU BAHAGO AHMAN PATEGI,2011-05-29,2014,1,2921,2011,3228,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Edu/Moro/Patigi
72,ALIYU BAHAGO AHMAN PATEGI,2014,2015-05-29,1,6901,2011,3228,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Edu/Moro/Patigi
55,AJAGBE ADETUNJI TAJUDEE,2011-05-29,2013-07-30,0,2723,2011,3216,Action Congress of Nigeria,"",Member,House of Representatives,"",Federal Representative,Ede North/Ede South/ Egbedore/Ejigbo
55,AJAGBE ADETUNJI TAJUDEE,2013-07-31,2015-05-29,0,5580,2011,3216,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Ede North/Ede South/ Egbedore/Ejigbo
27,ABUBAKAR MAHMUD WAMBAI,2011-05-29,2013-07-30,0,2844,2011,3197,Congress for Progressive Change,"",Member,House of Representatives,"",Federal Representative,Maiha/Mubi North/Mubi South
27,ABUBAKAR MAHMUD WAMBAI,2013-07-31,2015-05-29,0,5691,2011,3197,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Maiha/Mubi North/Mubi South
65,ALBERT TAMINU SAM-TSOKWA,2007-05-29,2011-05-29,0,2916,2007,2224,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,
65,ALBERT TAMINU SAM-TSOKWA,2011-05-29,2015-05-29,1,2916,2011,3223,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Takum/Donga/Ussa
51,AHMED MUKHTAR MOHAMMED,2007-05-29,2011-05-29,0,2909,2007,2212,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,
51,AHMED MUKHTAR MOHAMMED,2011-05-29,2015-05-29,1,2909,2011,3212,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Gurara/Suleja/Tafa
836,Saidu Yusuf Miga,1979-05-29,1983-05-29,0,6615,1979,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
836,Saidu Yusuf Miga,1983-05-29,1992-05-29,1,6615,1983,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
836,Saidu Yusuf Miga,1992-05-29,1998-05-29,2,6615,1992,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
836,Saidu Yusuf Miga,1998-05-29,1999-05-29,3,6615,1998,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
836,Saidu Yusuf Miga,1999-05-29,2003-05-29,4,6615,1999,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
836,Saidu Yusuf Miga,2003-05-29,2007-05-29,5,6615,2003,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
836,Saidu Yusuf Miga,2007-05-29,2011-05-29,6,6615,2007,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
836,Saidu Yusuf Miga,2011-05-29,2015-05-29,7,6615,2011,6616,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Jahun/Miga
854,ABAYOMI DAUDA KAKO ARE,1979-05-29,1983-05-29,0,6657,1979,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
854,ABAYOMI DAUDA KAKO ARE,1983-05-29,1992-05-29,1,6657,1983,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
854,ABAYOMI DAUDA KAKO ARE,1992-05-29,1998-05-29,2,6657,1992,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
854,ABAYOMI DAUDA KAKO ARE,1998-05-29,1999-05-29,3,6657,1998,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
854,ABAYOMI DAUDA KAKO ARE,1999-05-29,2003-05-29,4,6657,1999,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
854,ABAYOMI DAUDA KAKO ARE,2003-05-29,2007-05-29,5,6657,2003,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
854,ABAYOMI DAUDA KAKO ARE,2007-05-29,2011-05-29,6,6657,2007,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
854,ABAYOMI DAUDA KAKO ARE,2011-05-29,2015-05-29,7,6657,2011,6658,ACCORD,"",Member,House of Representatives,"",Federal Representative,Mushin I Federal Constituency
868,ABDULMALIK ZUBAIRU BUNGUDU,1979-05-29,1983-05-29,0,6695,1979,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
868,ABDULMALIK ZUBAIRU BUNGUDU,1983-05-29,1992-05-29,1,6695,1983,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
868,ABDULMALIK ZUBAIRU BUNGUDU,1992-05-29,1998-05-29,2,6695,1992,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
868,ABDULMALIK ZUBAIRU BUNGUDU,1998-05-29,1999-05-29,3,6695,1998,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
868,ABDULMALIK ZUBAIRU BUNGUDU,1999-05-29,2003-05-29,4,6695,1999,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
868,ABDULMALIK ZUBAIRU BUNGUDU,2003-05-29,2007-05-29,5,6695,2003,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
868,ABDULMALIK ZUBAIRU BUNGUDU,2007-05-29,2011-05-29,6,6695,2007,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
868,ABDULMALIK ZUBAIRU BUNGUDU,2011-05-29,2015-05-29,7,6695,2011,6696,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bungudu/Maru
62,AKINTOYE ALBERT,2011-05-29,2015-05-29,0,2914,2011,3221,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Okitipupa/Irele
53,AISHA AHMED DAHIRU,2011-05-29,2015-05-29,0,2911,2011,3214,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Yola North/Yola South/Girei
739,SHEHU ALIYU MUSA,1979-05-29,1983-05-29,0,6362,1979,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
739,SHEHU ALIYU MUSA,1983-05-29,1992-05-29,1,6362,1983,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
739,SHEHU ALIYU MUSA,1992-05-29,1998-05-29,2,6362,1992,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
739,SHEHU ALIYU MUSA,1998-05-29,1999-05-29,3,6362,1998,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
739,SHEHU ALIYU MUSA,1999-05-29,2003-05-29,4,6362,1999,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
739,SHEHU ALIYU MUSA,2003-05-29,2007-05-29,5,6362,2003,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
739,SHEHU ALIYU MUSA,2007-05-29,2011-05-29,6,6362,2007,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
739,SHEHU ALIYU MUSA,2011-05-29,2015-05-29,7,6362,2011,6363,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bauchi
293,MANSUR FUNTUA,2012-01-12,2013-07-30,0,2864,2011,3390,Congress for Progressive Change,"",Member,House of Representatives,"",Federal Representative,Funtua/Dandume
293,MANSUR FUNTUA,2013-07-31,2015-05-09,0,5711,2011,3390,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Funtua/Dandume
761,BENJAMIN IOREMBER WAYO,1979-05-29,1983-05-29,0,6416,1979,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
761,BENJAMIN IOREMBER WAYO,1983-05-29,1992-05-29,1,6416,1983,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
761,BENJAMIN IOREMBER WAYO,1992-05-29,1998-05-29,2,6416,1992,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
761,BENJAMIN IOREMBER WAYO,1998-05-29,1999-05-29,3,6416,1998,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
761,BENJAMIN IOREMBER WAYO,1999-05-29,2003-05-29,4,6416,1999,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
761,BENJAMIN IOREMBER WAYO,2003-05-29,2007-05-29,5,6416,2003,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
