person_id,person_name,role,organisation_name,organisation_kind,area,start_date,end_date
1,ABARIBE ENYINNAYA HARCOURT,Chairman,Information & National Orientation Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
12,ABDULLAHI SALAME BALARABE,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
16,ABDULRAHAMAN BADAMASUIY,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
19,ABE MAGNUS NGEI,Committee Member,National Identity and National Population Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
22,ABIODUN ABUDU-BALOGUN,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
23,ABIODUN DADA AWOLEYE,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
24,ABIOLA ADEBUKOLA AJAJA,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
26,ABUBAKAR ESHIOKPEK MOMOH,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
27,ABUBAKAR MAHMUD WAMBAI,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
29,ADAMU ABDULLAHI,Chairman,Agriculture Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
30,ADAMU ABUNABO HASSAN,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
31,ADAMU GURAI,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
34,ADENIYI ANTHONY ADEMUYIWA,Committee Member,Independent National Electoral Commission Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
34,ADENIYI ANTHONY ADEMUYIWA,Vice-Chairman,Capital Market Committee (Senate),Legislative Committee - Senate,,"",2015-05
35,ADEOBA AKINTOLA JOHNSON,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
37,ADESEUN AYOADE ADEMOLA,Chairman,Capital Market Committee (Senate),Legislative Committee - Senate,,"",2015-05
38,ADETUNBI OLUBUNMI,Vice-Chairman,Interior Affairs Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
41,ADEYEYE OLUSOLA,Vice-Chairman,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
41,ADEYEYE OLUSOLA,Vice-Chairman,Independent National Electoral Commission Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
43,ADOKWE SULEIMAN ASONYA,Chairman,Senate Services Committee (Senate),Legislative Committee - Senate,,"",2015-05
44,ADUDA PHILIP TANIMU,Chairman,Land Transport Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
44,ADUDA PHILIP TANIMU,Committee Member,National Identity and National Population Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
49,AHMED FONS NWANGUBI,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
50,AHMED IDRIS MAJE,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
52,AHMED YUSUF TIJANI,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
52,AHMED YUSUF TIJANI,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
56,NNAJI GILBERT EMEKA,Chairman,Communications Committee (Senate),Legislative Committee - Senate,,2011,2019-05-29
57,AKE WILSON ASINOBI,Chairman,"Employment, Labour and Productivity Committee (Senate)",Legislative Committee - Senate,,"",2015-05-29
61,AKINTAYO AMERE GAFARU,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
63,AKPAN MICAH UMOH,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
64,AKUME GEORGE ORPEL,Chairman,Army Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
64,AKUME GEORGE ORPEL,Committee Member,States and Local Government Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
65,ALBERT TAMINU SAM-TSOKWA,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
66,SALEH MOHAMMED SANI,Committee Member,Defence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
69,ALI AHMAD,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
70,ALI YAKUBU,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
72,ALIYU BAHAGO AHMAN PATEGI,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
74,ALIYU IBRAHIM GEBI,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
75,ALIYU SANI MADAKI,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
76,ALKALI SAIDU AHMED,Vice-Chairman,Independent National Electoral Commission Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
85,SANI AHMAD RUFAI,Vice-Chairman,Local and Foreign Debts Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
87,ANTHONY MADWATTE,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
89,SARAKI ABUBAKAR BUKOLA,Committee Member,"Banking, Insurance and Other Financial Institutions Committee (Senate)",Legislative Committee - Senate,,"",2015-05
90,Arthur Okowa Ifeanyi,Committee Member,Defence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
92,ASADU PATRICK OZIOKOJA,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
93,ASHAFA GBENGA,Chairman,Land Transport Committee (Senate),Legislative Committee - Senate,,2015-06,2019-05
93,ASHAFA GBENGA,Committee Member,Gas Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
94,ASITA HONOURABLE,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
95,ATIKU SHAMAKI,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
97,AWULU EZEKIEL ADAJI,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
99,AYO AKINYELURE PATRICK,Chairman,Ethics and Privileges Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
101,AYO HULAYAT OMIDIRAN,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
101,AYO HULAYAT OMIDIRAN,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
103,AZODO OKWUNNA EUCHARIA,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
108,Bagudu Abubakar Atiku,Chairman,Interior Affairs Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
110,BARATA AHMED HASSAN,Committee Member,Inter-Parliamentary Affairs Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
114,BAWA SHEHU USMAN,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
114,BAWA SHEHU USMAN,Vice-Chairman,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
118,BENJAMIN ITYOKUMBA ABOHO,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
118,BENJAMIN ITYOKUMBA ABOHO,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
119,BEN NNEBEDUMCHUKWU NWANKWO,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
121,BETTY JOCELYNE OKAGUA-APIAFI,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
