person_id,person_name,start_date,end_date,parliament_id,party_id,party,party_subtitle,party_role,organisation_name,organisation_subtitle,organisation_role,area
2,ABATEMI USMAN NURUDEEN,2011-05-29,2015-05-29,3534,3102,Peoples Democratic Party,"",Member,Senate,"",Senator,Kogi Central
46,AGBOOLA AYOOLA HOSEA,2011-05-29,2015-05-29,3544,3108,Peoples Democratic Party,"",Member,Senate,"",Senator,OYO NORTH
37,ADESEUN AYOADE ADEMOLA,2011-05-29,2013-07-30,3538,2778,Action Congress of Nigeria,"",Member,Senate,"",Senator,OYO CENTRAL
37,ADESEUN AYOADE ADEMOLA,2013-07-31,2015-05-29,3538,5634,All Progressives Congress (APC),"",Member,Senate,"",Senator,OYO CENTRAL
537,Abdul Nyako,2015-05-29,2019-05-29,5805,5804,All Progressives Congress (APC),"",Member,Senate,"",Senator,ADAMAWA CENTRAL
563,Shehu Sani,,2019-05-29,5880,5879,All Progressives Congress (APC),"",Member,Senate,"",Senator,KADUNA CENTRAL
76,ALKALI SAIDU AHMED,2011-05-29,2015-05-29,3550,3112,Peoples Democratic Party,"",Member,Senate,"",Senator,Gombe NORTH
68,ALHASSAN AISHA JUMMAI,2011-05-29,2014-01-29,3549,3111,Peoples Democratic Party,"",Member,Senate,"",Senator,TARABA NORTH
68,ALHASSAN AISHA JUMMAI,2014-01-29,2015-05-29,3549,5841,All Progressives Congress (APC),"",Member,Senate,"",Senator,TARABA NORTH
267,SEKIBO GEORGE THOMPSON,2011-05-29,2019-05,3594,3140,Peoples Democratic Party,"",Member,Senate,"",Senator,RIVERS EAST
536, BINTA MASI GARBA,2015-05-29,2019-05-29,5803,5802,All Progressives Congress (APC),"",Member,Senate,"",Senator,ADAMAWA NORTH
99,AYO AKINYELURE PATRICK,2011-05-29,2015-07-29,3559,2885,Labour Party,"",Member,Senate,"",Senator,ONDO CENTRAL
126,BOLUWAJI KUNLE,2011-05-29,2015-05-29,3562,2886,Labour Party,"",Member,Senate,"",Senator,ONDO SOUTH
602,Ibrahim Danbaba Abdullahi,2015-05-29,2019-05-29,5981,5980,All Progressives Congress (APC),"",Member,Senate,"",Senator,Sokoto South
538,Ahmadu Moallahyidi Abubakar,2015-06,2019-06,5807,5806,All Progressives Congress (APC),"",Member,Senate,"",Senator,ADAMAWA SOUTH
