person_id,person_name,start_date,end_date,parliament_id,party_id,party,party_subtitle,party_role,organisation_name,organisation_subtitle,organisation_role,area
23,ABIODUN DADA AWOLEYE,,2013-07-30,4099,2716,Action Congress of Nigeria,"",Member,Oyo State House of Assembly,"",Member,Oyo
23,ABIODUN DADA AWOLEYE,2013-07-31,,4099,5573,All Progressives Congress (APC),"",Member,Oyo State House of Assembly,"",Member,Oyo
652,Aliyu Akuh,2015-05-29,2019-05-29,6127,6126,Peoples Democratic Party,"",Member,Kogi State House of Assembly,"",State Legislator,Omala
652,Aliyu Akuh,2015-05-29,2019-05-29,6128,6126,Peoples Democratic Party,"",Member,Kogi State House of Assembly,"",Deputy Speaker ,
663,Fatai Olotu,2015-05-29,2019-05-29,6163,6162,Peoples Democratic Party,"",Member,Ondo State House of Assembly,"",State Legislator,Akoko North-East
663,Fatai Olotu,2015-05-29,2019-05-29,6164,6162,Peoples Democratic Party,"",Member,Ondo State House of Assembly,"",Deputy Speaker ,
301,MOHAMMED ALHAJI SANDA,1992,1993,4886,2813,All Nigeria Peoples Party,"",Member,Borno State House Of Assembly,"",Member,Borno
301,MOHAMMED ALHAJI SANDA,2003,2011,4887,2813,All Nigeria Peoples Party,"",Member,Borno State House Of Assembly,"",Member,
198,GONI BUKAR LAWA,1991,1993,4584,2803,All Nigeria Peoples Party,"",Member,Yobe State House of Assembly,"","",Yobe
198,GONI BUKAR LAWA,1999,2004,4585,2803,All Nigeria Peoples Party,"",Member,Yobe State House of Assembly,"","",Yobe
69,ALI AHMAD,2015-05-29,2019-05-29,6131,6129,All Progressives Congress (APC),"",Member,Kwara State House of Assembly,"",Speaker,
69,ALI AHMAD,2015-05-29,2019-05-29,6130,6129,All Progressives Congress (APC),"",Member,Kwara State House of Assembly,"",State Legislator,Ilorin South
91,ARUA ARUNSI,,,4277,2930,Peoples Democratic Party,"",Member,Abia State House of Assembly,"",Honourable Member,
91,ARUA ARUNSI,,,4278,2930,Peoples Democratic Party,"",Member,Abia State House of Assembly,"",Honourable Speaker,
104,BABA BUKAR MACHINAMA,1997,1998,4310,2799,All Nigeria Peoples Party,"",Member,Yobe State House of Assembly,"",Member,
169,ENEKOROGHA PENAWEI FRANCIS,1999,2001,4504,2970,Peoples Democratic Party,"",Member,Delta State House Of Assembly,"",Member,Delta
160,EDDIE MBADIWE IFEANYICHUKWU,,,4457,2836,All Progressives Grand Alliance,"",Member,Imo State House Of Assembly,"",Member,Imo
163,EMMANUEL ETIM EKPENYONG,,2013-07-30,4475,2734,Action Congress of Nigeria,"",Member,Akwa Ibom State House of Assembly,"",Deputy Speaker ,Akwa Ibom
163,EMMANUEL ETIM EKPENYONG,2013-07-31,,4475,5591,All Progressives Congress (APC),"",Member,Akwa Ibom State House of Assembly,"",Deputy Speaker ,Akwa Ibom
165,EMMANUEL JIME,,1993,4483,2967,Peoples Democratic Party,"",Member,Bayelsa State House of Assembly,"",Speaker,Benue
165,EMMANUEL JIME,,1993,4484,2967,Peoples Democratic Party,"",Member,Bayelsa State House of Assembly,"",Member,Benue
165,EMMANUEL JIME,2001,2007,4485,2967,Peoples Democratic Party,"",Member,Bayelsa State House of Assembly,"",Member,Benue
166,EMMANUEL LOKJI LUKA GOAR,,,4491,2968,Peoples Democratic Party,"",Member,Plateau State House of Assembly,"",Speaker,Plateau
244,ISHAKA MOHAMMED BAWA,1999,2007,4720,3003,Peoples Democratic Party,"",Member,Taraba State House of Assembly,"",Member,Taraba
